device,eastern_time,var,URL
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 13:07:36 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T17%3A07%3A36Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 14:02:43 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T18%3A02%3A43Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 15:02:46 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T19%3A02%3A45Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 17:06:58 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T21%3A06%3A58Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 18:07:03 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T22%3A07%3A03Z.png
EDU-46CF2F54-f4-5e-ab-5d-fd-81,Wed Mar 13 19:07:17 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-46CF2F54-f4-5e-ab-5d-fd-81_Camera-Top_2019-03-13T23%3A07%3A16Z.png
EDU-8153ECFB-f4-5e-ab-5a-4d-f9,Tue Mar 12 10:10:00 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-8153ECFB-f4-5e-ab-5a-4d-f9_Camera-Top_2019-03-12T14%3A09%3A59Z.png
EDU-8153ECFB-f4-5e-ab-5a-4d-f9,Tue Mar 12 10:14:59 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-8153ECFB-f4-5e-ab-5a-4d-f9_Camera-Top_2019-03-12T14%3A14%3A58Z.png
EDU-8153ECFB-f4-5e-ab-5a-4d-f9,Tue Mar 12 11:15:07 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-8153ECFB-f4-5e-ab-5a-4d-f9_Camera-Top_2019-03-12T15%3A15%3A07Z.png
EDU-8153ECFB-f4-5e-ab-5a-4d-f9,Tue Mar 12 12:15:11 2019,Camera-Top,https://storage.googleapis.com/openag-v1-images/EDU-8153ECFB-f4-5e-ab-5a-4d-f9_Camera-Top_2019-03-12T16%3A15%3A11Z.png
